DISCIPLINA;ÁREA DO CONHECIMENTO;ÁREA FUNCIONAL DEFINIDA
Processo de Conhecimento;Direito;Direito Civil
Processo das Doenças Imunopreveníveis e o Programa de Imunização;Saúde e Bem-Estar Social;Epidemiologia e Saúde Pública
Processo Avançado de Técnicas em Enfermagem;Saúde e Bem-Estar Social;Ciências da Enfermagem
Processamento de Imagens e Visão Computacional;Matemática, Computação e Tecnologias de Informação e Comunicacão;Computação Gráfica
Primeiros Socorros;Saúde e Bem-Estar Social;Ciências Médicas e da Saúde
Prevenção e Qualidade de Vida;Saúde e Bem-Estar Social;Epidemiologia e Saúde Pública
Portos, Aeroportos e Ferrovias;Engenharia, Produção e Construção;Engenharia Civil e Construções
Políticas Públicas em Saúde- Ênfase em PPE;Saúde e Bem-Estar Social;Gestão e Políticas Aplicadas à Saúde
Políticas Públicas em Educação- Ênfase PPE;Educação;Políticas, Currículos e Programas Educacionais
Políticas de Atenção a Saúde da Mulher e do Homem;Saúde e Bem-Estar Social;Gestão e Políticas Aplicadas à Saúde
Política Social;Ciências Sociais, Jornalismo e Informação;Ciências Políticas e Direitos Humanos
Politicas Públicas de Saúde e Redes de Ações à Saúde;Saúde e Bem-Estar Social;Gestão e Políticas Aplicadas à Saúde
Plástica;Engenharia, Produção e Construção;Interdisciplinar com foco em Engenharia, Produção e Construção
Planejamento, Organização e Gestão em Serviços de Saúde;Saúde e Bem-Estar Social;Gestão e Políticas Aplicadas à Saúde
Planejamento Urbano e Regional;Engenharia, Produção e Construção;Arquitetura e urbanismo
Planejamento Estratégico e Empresarial;Administração e Negócios;Ciências da Administração
Planejamento Estratégico e Avaliação Financeira de Empresas;Administração e Negócios;Finanças, bancos e seguros
Planejamento Estratégico de RH e Cálculos Trabalhistas;Administração e Negócios;Gestão de Pessoas e Departamento de Pessoal
Planejamento e Projeto Político Pedagógico;Educação;Políticas, Currículos e Programas Educacionais
Planejamento e Gestão em Serviço Social;Saúde e Bem-Estar Social;Serviço Social e Orientação
Planejamento e Controle da Produção;Engenharia, Produção e Construção;Engenharia de Produção e Processos de Fabricação
Planejamento de farmácos;Saúde e Bem-Estar Social;Ciências Farmacêuticas
Pessoas e Bens;Direito;Direito Civil
Pesquisa Operacional;Matemática, Computação e Tecnologias de Informação e Comunicacão;Matemática Aplicada e Computacional
Pesquisa em Serviço Social;Saúde e Bem-Estar Social;Serviço Social e Orientação
Perícia Contábil, Mediação e Arbitragem;Administração e Negócios;Contabilidade e Tributação
Pavimentação;Engenharia, Produção e Construção;Arquitetura e urbanismo
Patologia Aplicada;Saúde e Bem-Estar Social;Ciências Médicas e da Saúde
Paisagem Urbana;Engenharia, Produção e Construção;Arquitetura e urbanismo
Padrões de Projeto de Software;Matemática, Computação e Tecnologias de Informação e Comunicacão;Ciências e Engenharia da Computação
Orçamento e Finanças Públicas;Administração e Negócios;Finanças, Bancos e Seguros
Organização e Arquitetura de Computadores;Matemática, Computação e Tecnologias de Informação e Comunicacão;Arquitetura de Computadores
Organização do Estado;Ciências Sociais, Jornalismo e Informação;Ciências Políticas e Direitos Humanos
Organização de Eventos;Serviços;Eventos
Organização da Administração Pública;Administração e Negócios;Administração  e Gestão Pública
Operações Logísticas;Administração e Negócios;Logística
Obras de Terra;Engenharia, Produção e Construção;Engenharia Civil e Construções
Nutrição;Saúde e Bem-Estar Social;Ciências da Nutrição
Noções de Contabilidade;Administração e Negócios;Contabilidade e Tributação
Neuroanatomia e Neuropsicologia;#N/A;
Natação;Saúde e Bem-Estar Social;Especialidades da Educação Física
Musculação;Saúde e Bem-Estar Social;Especialidades da Educação Física
Modelagem e Simulação de Sistemas de Produção;Engenharia, Produção e Construção;Engenharia de Produção e Processos de Fabricação
Microcontroladores e Sistemas Embarcados;Engenharia, Produção e Construção;Engenharia de Controle e Automação
Microbiologia e Parasitologia básica;Saúde e Bem-Estar Social;Ciências Médicas e da Saúde
Metrologia;Engenharia, Produção e Construção;Interdisciplinar com foco em Engenharia, Produção e Construção
Metodologia do Treinamento Esportivo;Saúde e Bem-Estar Social;Especialidades da Educação Física
Metodologia da Pesquisa Científica;Ciências Sociais, Jornalismo e Informação;Ciência da Informação
Melhores Práticas em TI;Matemática, Computação e Tecnologias de Informação e Comunicacão;Processamento da Informação
Meios de Contraste em Radiologia;Saúde e Bem-Estar Social;Tecnologias de Diagnóstico e Tratamento Médico
Medicina Nuclear e Diagnóstico por Imagem;Saúde e Bem-Estar Social;Tecnologias de Diagnóstico e Tratamento Médico
Mediação, Conciliação e Arbitragem;Direito;Direito Público
Mecânica dos Sólidos;Engenharia, Produção e Construção;Interdisciplinar com foco em Engenharia, Produção e Construção
Mecânica dos Solos, das Rochas e Elem. de Geologia;Engenharia, Produção e Construção;Interdisciplinar com foco em Engenharia, Produção e Construção
Materiais de Construção Civil;Engenharia, Produção e Construção;Engenharia Civil e Construções
Matemática Financeira;Administração e Negócios;Finanças, Bancos e Seguros
Matemática;Matemática, Computação e Tecnologias de Informação e Comunicacão;Matemática Aplicada e Computacional
Marketing de Serviços e Relacionamento;Administração e Negócios;Marketing
Mamografia;Saúde e Bem-Estar Social;Tecnologias de Diagnóstico e Tratamento Médico
Língua Inglesa Aplicada;Humanidades, Artes e Linguagens;Letras - Linguística (línguas estrangeiras modernas)
Lutas;Saúde e Bem-Estar Social;Especialidades da Educação Física
Logística e Economia de transportes;Administração e Negócios;Logística
Logística e Distribuição Física;Administração e Negócios;Logística
Literatura Infanto Juvenil;Humanidades, Artes e Linguagens;Letras - Literatura (Língua Portuguesa)
Linhas de Transmissão;Engenharia, Produção e Construção;Engenharia Elétrica e de Energia
Liderança e Gestão Estratégica de Pessoas;Administração e Negócios;Gestão de Pessoas e Departamento de Pessoal
LIBRAS;Humanidades, Artes e Linguagens;LIBRAS - Língua Brasileira de Sinais
Leitura e Produção Textual;Humanidades, Artes e Linguagens;Escrita Criativa, Leitura e Redação
Legislação Trabalhista e Previdenciária;Direito;Direito do Trabalho e Legislação Trabalhista
Legislação Profissional;Direito;Direito do Trabalho e Legislação Trabalhista
Legislação Penal Especial;Direito;Direito Penal
Laboratório e Sistemas de Informação Contábil;Administração e Negócios;Contabilidade e Tributação
Jogos e Brincadeiras;Educação;Ciências da Educação, Didática e Pedagogia
Jogos de Empresas;Administração e Negócios;Ciências da Administração
Investigação Penal e Ritos Processuais;Direito;Direito Penal
Introdução à Robótica;Engenharia, Produção e Construção;Interdisciplinar com foco em Engenharia, Produção e Construção
Introdução ao Estudo do Direito;Direito;Estudos de Direito, Justiça Criminal e Estudos para-legais
Interfaces da Atuação do Pedagogo;Educação;Ciências da Educação, Didática e Pedagogia
Inteligência Artificial;Matemática, Computação e Tecnologias de Informação e Comunicacão;Inteligência Artificial
Inovações Farmacêuticas;Saúde e Bem-Estar Social;Ciências Farmacêuticas
Inovações Biomédicas;Saúde e Bem-Estar Social;Tecnologias de Diagnóstico e Tratamento Médico
Inovação Tecnológica;Matemática, Computação e Tecnologias de Informação e Comunicacão;Ciências e Engenharia da Computação
Inovação e Gestão em Diagnósticos por Imagem;Saúde e Bem-Estar Social;Tecnologias de Diagnóstico e Tratamento Médico
Iniciação ao Processo de Cuidar;Saúde e Bem-Estar Social;Ciências da Enfermagem
Informática;Matemática, Computação e Tecnologias de Informação e Comunicacão;Uso do Computador e Softwares
Imunologia Básica;Saúde e Bem-Estar Social;Ciências Médicas e da Saúde
Homeopatia;Saúde e Bem-Estar Social;Medicina Homeopática
Homem e Sociedade;Ciências Sociais, Jornalismo e Informação;Ciências Sociais e Estudos Culturais
História e Fundamentos Epistemológicos da Psicologia;Psicologia e Desenvolvimento Pessoal;Ciências da Psicologia
História do Pensamento e Hermenêutica Jurídica;Direito;Estudos de Direito, Justiça Criminal e Estudos para-legais
História das Ideias Pedagógicas;Educação;Ciências da Educação, Didática e Pedagogia
História da Arte;Engenharia, Produção e Construção;Interdisciplinar com foco em Engenharia, Produção e Construção
História da Arquitetura e Urbanismo - Idade Média;Engenharia, Produção e Construção;Arquitetura e urbanismo
História da Arquitetura e Urbanismo - Idade Antiga;Engenharia, Produção e Construção;Arquitetura e urbanismo
Histologia e Embriologia Humana;Ciências Naturais;Ciências Biológicas
Hidráulica II;Ciências Naturais;Ciências Físicas
Hidráulica I;Ciências Naturais;Ciências Físicas
Hidráulica;Ciências Naturais;Ciências Físicas
Hidrologia Aplicada;Engenharia, Produção e Construção;Engenharia Civil e Construções
Hematologia Básica;Saúde e Bem-Estar Social;Ciências Médicas e da Saúde
Handebol;Saúde e Bem-Estar Social;Especialidades da Educação Física
Ginástica Laboral;Saúde e Bem-Estar Social;Especialidades da Educação Física
Ginástica Geral;Saúde e Bem-Estar Social;Especialidades da Educação Física
Ginástica Artística;Saúde e Bem-Estar Social;Especialidades da Educação Física
Gestão Financeira e Contábil;Administração e Negócios;Contabilidade e Tributação
Gestão Empresarial e Governança Corporativa;Administração e Negócios;Ciências da Administração
Gestão e Análise de Custos;Administração e Negócios;Gestão da Produção e da Qualidade
Gestão de Transportes e Armazenagem;Administração e Negócios;Logística
Gestão de Recursos Humanos;Administração e Negócios;Gestão de Pessoas e Departamento de Pessoal
Gestão de Projetos;Administração e Negócios;Gestão da Produção e da Qualidade
Gestão de Processos e Projetos;Administração e Negócios;Gestão da Produção e da Qualidade
Gestão de Manutenção;Administração e Negócios;Gestão da Produção e da Qualidade
Gestão de Investimentos e Mercado Financeiro;Administração e Negócios;Finanças, Bancos e Seguros
Gestão de Finanças;Administração e Negócios;Finanças, Bancos e Seguros
Gestão de Estoque e Cadeia de Suprimentos;Administração e Negócios;Logística
Gestão de Custos e Formação de Preços;Administração e Negócios;Gestão Comercial e Negócios Imobiliários
Gestão de Custos e Desempenhos Logísticos;Administração e Negócios;Logística
Gestão da Qualidade e Produtividade;Administração e Negócios;Gestão da Produção e da Qualidade
Gestão da Qualidade;Administração e Negócios;Gestão da Produção e da Qualidade
Gestão da Inovação e Tecnologia;Administração e Negócios;Empreendedorismo e Gestão da Inovação
Gestão da Cadeia de Suprimentos;Administração e Negócios;Logística
Gerência e Planejamento de Empresas e Empreendimentos de Construção;Administração e Negócios;Gestão Comercial e Negócios Imobiliários
Geopolítica e Relações Internacionais;Ciências Sociais, Jornalismo e Informação;Relações internacionais
Geometría Analítica, Álgebra Linear e Cálculo Vetorial;Matemática, Computação e Tecnologias de Informação e Comunicacão;Álgebra
Geometria Descritiva;Matemática, Computação e Tecnologias de Informação e Comunicacão;Geometria e Topologia
Genética, Evolução e Comportamento Humano;Saúde e Bem-Estar Social;Ciências Médicas e da Saúde
Físico-Química;Ciências Naturais;Ciências Químicas
Física: Estática e Dinâmica;Ciências Naturais;Ciências Físicas
Física: Eletricidade e Eletromagnetismo;Ciências Naturais;Ciências Físicas
Física: Cinemática e Vetores;Ciências Naturais;Ciências Físicas
Física Radiológica;Saúde e Bem-Estar Social;Interdisciplinar com foco em Saúde e Bem-Estar Social
Física;Ciências Naturais;Ciências Físicas
Futebol;Saúde e Bem-Estar Social;Especialidades da Educação Física
Fundações;Engenharia, Produção e Construção;Engenharia Civil e Construções
Fundamentos, Metodologias e Práticas de Ensino para Alunos com Deficiência;Educação;Educação Especial - aspectos teóricos e práticos
Fundamentos, Metodologias e Práticas de Ensino em Ciências Sociais: História e Geografia;Educação;Formação de Professores em Disciplinas Específicas Não-Profisisonalizantes (exceto Letras)
Fundamentos, Metodologias e Práticas de Ensino das Ciências Naturais;Educação;Formação de Professores em Disciplinas Específicas Não-Profisisonalizantes (exceto Letras)
Fundamentos, Metodologias e Práticas de Ensino da Língua Portuguesa;Educação;Formação de Professores em Disciplinas Específicas Não-Profisisonalizantes (exceto Letras)
Fundamentos, Metodologias e Práticas de Ensino da Educação de Jovens e Adultos;Educação;Educação de Jovens e Adultos - aspectos teóricos e práticos
Fundamentos, Metodologias e Práticas de Ensino da Alfabetização e Letramento;Educação;Ensino Fundamental (anos iniciais) e Alfabetição - aspectos teóricos e práticos
Fundamentos, Metodologias e Práticas das Ciências Exatas: Matemática;Educação;Formação de Professores em Disciplinas Específicas Não-Profisisonalizantes (exceto Letras)
Fundamentos Históricos, Teóricos e Metodológicos do Serviço Social IV;Saúde e Bem-Estar Social;Serviço Social e Orientação
Fundamentos Históricos Teóricos - Metodológicos do Serviço Social III;Saúde e Bem-Estar Social;Serviço Social e Orientação
Fundamentos Históricos Teóricos - Metodológicos do Serviço Social II;Saúde e Bem-Estar Social;Serviço Social e Orientação
Fundamentos Históricos Teóricos - Metodológicos do Serviço Social I;Saúde e Bem-Estar Social;Serviço Social e Orientação
Fundamentos de Telecomunicações;Engenharia, Produção e Construção;Engenharia Eletrônica e Mecatrônica
Fundamentos da Promoção à Saude Mental e Assistência às Pessoas com Transtornos Mentais;Saúde e Bem-Estar Social;Saúde Mental
Fundamentos da Gestão Educacional, Organização e Coordenação do Trabalho Escolar;Educação;Gestão Educacional
Fundamentos da Farmácia Clínica e atenção farmacêutica;Saúde e Bem-Estar Social;Ciências Farmacêuticas
Fundamentos da Assistência de Enfermagem ao Paciente nas situações de Urgência e Emergência;Saúde e Bem-Estar Social;Ciências da Enfermagem
Fundamentos da Assistência de Enfermagem ao Paciente Crítico;Saúde e Bem-Estar Social;Ciências da Enfermagem
Formação Social, Econômica e Política do Brasil;Ciências Sociais, Jornalismo e Informação;Ciências Políticas e Direitos Humanos
Fisiologia Humana;Saúde e Bem-Estar Social;Ciências Médicas e da Saúde
Fisiologia do Exercício;Saúde e Bem-Estar Social;Especialidades da Educação Física
Filosofia e Psicologia Aplicadas ao Direito;Direito;Interdisciplinar com foco em Direito
Filosofia da Educação;Educação;Interdisciplinar com foco em Educação
Fenômenos de Transporte;Ciências Naturais;Ciências Físicas
Fenomenologia;Psicologia e Desenvolvimento Pessoal;Teorias e Abordagens Psicoterapêuticas
Fatos e Negócio Jurídico;Direito;Estudos de Direito, Justiça Criminal e Estudos para-legais
Farmácia: histórico e perspectivas;Saúde e Bem-Estar Social;Ciências Farmacêuticas
Farmacotécnica II;Saúde e Bem-Estar Social;Ciências Farmacêuticas
Farmacotécnica I;Saúde e Bem-Estar Social;Ciências Farmacêuticas
Farmacotécnica;Saúde e Bem-Estar Social;Ciências Farmacêuticas
Farmacologia: Farmacodinâmica;Saúde e Bem-Estar Social;Ciências Farmacêuticas
Farmacologia: Farmacocinética;Saúde e Bem-Estar Social;Ciências Farmacêuticas
Farmacologia;Saúde e Bem-Estar Social;Ciências Farmacêuticas
Farmacognosia e Fitoterapia;Saúde e Bem-Estar Social;Ciências Farmacêuticas
Execução Civil;Direito;Direito Penal
Estética do Projeto;Engenharia, Produção e Construção;Projeto Arquitetônico
Estática e Mecânica dos Sólidos;Engenharia, Produção e Construção;Engenharia Mecânica e Metalurgica
Estágio Supervisionado IV em Psicologia - Ênfase;Psicologia e Desenvolvimento Pessoal;Exercício Profissional e Pesquisa em Psicologia e Desenvolvimento Pessoal
Estágio Supervisionado III em Psicologia - Ênfase;Psicologia e Desenvolvimento Pessoal;Exercício Profissional e Pesquisa em Psicologia e Desenvolvimento Pessoal
Estágio Supervisionado II em Psicologia - Ênfase;Psicologia e Desenvolvimento Pessoal;Exercício Profissional e Pesquisa em Psicologia e Desenvolvimento Pessoal
Estágio Supervisionado II;Engenharia, Produção e Construção;Exercício Profissional e Pesquisa em Engenharia, Produção e Construção
Estágio Supervisionado I em Psicologia - Ênfase;Psicologia e Desenvolvimento Pessoal;Exercício Profissional e Pesquisa em Psicologia e Desenvolvimento Pessoal
Estágio Supervisionado I;Engenharia, Produção e Construção;Exercício Profissional e Pesquisa em Engenharia, Produção e Construção
Estágio Supervisionado em Serviço Social III;Saúde e Bem-Estar Social;Exercício Profissional e Pesquisa em Saúde e Bem-Estar Social
Estágio Supervisionado em Serviço Social II;Saúde e Bem-Estar Social;Exercício Profissional e Pesquisa em Saúde e Bem-Estar Social
Estágio Supervisionado em Serviço Social I;Saúde e Bem-Estar Social;Exercício Profissional e Pesquisa em Saúde e Bem-Estar Social
Estágio Supervisionado em Radiologia II;Saúde e Bem-Estar Social;Exercício Profissional e Pesquisa em Saúde e Bem-Estar Social
Estágio Supervisionado em Radiologia I;Saúde e Bem-Estar Social;Exercício Profissional e Pesquisa em Saúde e Bem-Estar Social
Estágio supervisionado em Farmácia VIII;Saúde e Bem-Estar Social;Exercício Profissional e Pesquisa em Saúde e Bem-Estar Social
Estágio supervisionado em Farmácia VII;Saúde e Bem-Estar Social;Exercício Profissional e Pesquisa em Saúde e Bem-Estar Social
Estágio supervisionado em Farmácia VI;Saúde e Bem-Estar Social;Exercício Profissional e Pesquisa em Saúde e Bem-Estar Social
Estágio supervisionado em Farmácia V;Saúde e Bem-Estar Social;Exercício Profissional e Pesquisa em Saúde e Bem-Estar Social
Estágio supervisionado em Farmácia IV;Saúde e Bem-Estar Social;Exercício Profissional e Pesquisa em Saúde e Bem-Estar Social
Estágio supervisionado em Farmácia III;Saúde e Bem-Estar Social;Exercício Profissional e Pesquisa em Saúde e Bem-Estar Social
Estágio supervisionado em Farmácia II;Saúde e Bem-Estar Social;Exercício Profissional e Pesquisa em Saúde e Bem-Estar Social
Estágio supervisionado em Farmácia I;Saúde e Bem-Estar Social;Exercício Profissional e Pesquisa em Saúde e Bem-Estar Social
Estágio Supervisionado em Engenharia da Computação II;Matemática, Computação e Tecnologias de Informação e Comunicacão;Exercício Profissional e Pesquisa em Matemática, Computação e TICs
Estágio Supervisionado em Engenharia da Computação I;Matemática, Computação e Tecnologias de Informação e Comunicacão;Exercício Profissional e Pesquisa em Matemática, Computação e TICs
Estágio Supervisionado em Eng. Elétrica II;Engenharia, Produção e Construção;Exercício Profissional e Pesquisa em Engenharia, Produção e Construção
Estágio Supervisionado em Eng. Elétrica I;Engenharia, Produção e Construção;Exercício Profissional e Pesquisa em Engenharia, Produção e Construção
Estágio Supervisionado em Eng. da Produção II;Engenharia, Produção e Construção;Exercício Profissional e Pesquisa em Engenharia, Produção e Construção
Estágio Supervisionado em Eng. da Produção I;Engenharia, Produção e Construção;Exercício Profissional e Pesquisa em Engenharia, Produção e Construção
Estágio Supervisionado em Direito IV;Direito;Exercício Profissional e Pesquisa em Direito
Estágio Supervisionado em Direito III;Direito;Exercício Profissional e Pesquisa em Direito
Estágio Supervisionado em Direito II;Direito;Exercício Profissional e Pesquisa em Direito
Estágio Supervisionado em Direito I;Direito;Exercício Profissional e Pesquisa em Direito
Estágio Supervisionado em Biomedicina II;Saúde e Bem-Estar Social;Exercício Profissional e Pesquisa em Saúde e Bem-Estar Social
Estágio Supervisionado em Biomedicina I;Saúde e Bem-Estar Social;Exercício Profissional e Pesquisa em Saúde e Bem-Estar Social
Estágio Supervisionado - Arquitetura;Engenharia, Produção e Construção;Exercício Profissional e Pesquisa em Engenharia, Produção e Construção
Estágio Curricular Supervisionado no Ensino Fundamental;Educação;Exercício Profissional e Pesquisa em Educação
Estágio Curricular Supervisionado na Gestão Educacional;Educação;Gestão Educacional
Estágio Curricular Supervisionado na EJA;Educação;Educação de Jovens e Adultos - aspectos teóricos e práticos
Estágio Curricular Supervisionado na Educação Infantil;Educação;Exercício Profissional e Pesquisa em Educação
Estágio Curricular Supervisionado IV;Saúde e Bem-Estar Social;Exercício Profissional e Pesquisa em Saúde e Bem-Estar Social
Estágio Curricular Supervisionado III;Saúde e Bem-Estar Social;Exercício Profissional e Pesquisa em Saúde e Bem-Estar Social
Estágio Curricular Supervisionado II;Saúde e Bem-Estar Social;Exercício Profissional e Pesquisa em Saúde e Bem-Estar Social
Estágio Curricular Supervisionado I;Saúde e Bem-Estar Social;Exercício Profissional e Pesquisa em Saúde e Bem-Estar Social
Estágio Curricular Supervisionado em Contabilidade II;Administração e Negócios;Contabilidade e Tributação
Estágio Curricular Supervisionado em Contabilidade I;Administração e Negócios;Contabilidade e Tributação
Estágio Curricular Supervisionado em Ambientes Não Escolares;Educação;Exercício Profissional e Pesquisa em Educação
Estágio Curricular Supervisionado em Administração II;Administração e Negócios;Exercício Profissional e Pesquisa em Administração e Negócios
Estágio Curricular Supervisionado em Administração I;Administração e Negócios;Exercício Profissional e Pesquisa em Administração e Negócios
Estágio Básico III;Psicologia e Desenvolvimento Pessoal;Exercício Profissional e Pesquisa em Psicologia e Desenvolvimento Pessoal
Estágio Básico II;Psicologia e Desenvolvimento Pessoal;Exercício Profissional e Pesquisa em Psicologia e Desenvolvimento Pessoal
Estágio Básico I;Psicologia e Desenvolvimento Pessoal;Exercício Profissional e Pesquisa em Psicologia e Desenvolvimento Pessoal
Estudos Integradores;Educação;Interdisciplinar com foco em Educação
Estruturas de Pontes;Engenharia, Produção e Construção;Engenharia Civil e Construções
Estruturas de Concreto Armado II;Engenharia, Produção e Construção;Engenharia Civil e Construções
Estruturas de Concreto Armado I;Engenharia, Produção e Construção;Engenharia Civil e Construções
Estruturas de Concreto Armado;Engenharia, Produção e Construção;Engenharia Civil e Construções
Estruturas de Aço e Madeira;Engenharia, Produção e Construção;Engenharia Civil e Construções
Estratégias de Produção;Engenharia, Produção e Construção;Engenharia de Produção e Processos de Fabricação
Estratégias Competitivas e Pesquisa de Marketing;Administração e Negócios;Marketing
Estradas;Engenharia, Produção e Construção;Engenharia Civil e Construções
Estatística;Matemática, Computação e Tecnologias de Informação e Comunicacão;Estatística
Estagio Curricular Supervionados em Serviços de Saúde II;Saúde e Bem-Estar Social;Exercício Profissional e Pesquisa em Saúde e Bem-Estar Social
Estagio Curricular Supervionados em Serviços de Saúde I;Saúde e Bem-Estar Social;Exercício Profissional e Pesquisa em Saúde e Bem-Estar Social
Ergonomia e Antropometria;Saúde e Bem-Estar Social;Ciências Médicas e da Saúde
Enzimologia e tecnologia das fermentações;Saúde e Bem-Estar Social;Ciências Farmacêuticas
Engenharia Econômica;Engenharia, Produção e Construção;Interdisciplinar com foco em Engenharia, Produção e Construção
Engenharia e Usabilidade de Interfaces;Matemática, Computação e Tecnologias de Informação e Comunicacão;Experiência do Usuário e Interfaces (UX e UI)
Engenharia e Segurança do Trabalho;Engenharia, Produção e Construção;Interdisciplinar com foco em Engenharia, Produção e Construção
Engenharia e Profissão;Engenharia, Produção e Construção;Exercício Profissional e Pesquisa em Engenharia, Produção e Construção
Engenharia de Software;Matemática, Computação e Tecnologias de Informação e Comunicacão;Ciências e Engenharia da Computação
Enfermagem no Processo de Envelhecimento;Saúde e Bem-Estar Social;Enfermagem Gerontológica
Enfermagem no Processo das Afecções Clinicas;Saúde e Bem-Estar Social;Ciências da Enfermagem
Enfermagem no Processo das Afecções Cirúrgicas;Saúde e Bem-Estar Social;Enfermagem Médico-Cirúrgica
Enfermagem no Contexto Histórico Social e Exercício Profissional da Enfermagem;Saúde e Bem-Estar Social;Ciências da Enfermagem
Enfermagem no Centro Cirúrgico e Central de Material e Esterelização e Recuperação Pós-Anestésica;Saúde e Bem-Estar Social;Enfermagem Médico-Cirúrgica
Enfermagem nas Doenças Transmissíveis;Saúde e Bem-Estar Social;Epidemiologia e Saúde Pública
Enfermagem nas Doenças de Notificação Compulsória;Saúde e Bem-Estar Social;Epidemiologia e Saúde Pública
Enfermagem na Saúde do Trabalhador;Saúde e Bem-Estar Social;Epidemiologia e Saúde Pública
Enfermagem na Saúde do Recém-Nascido;Saúde e Bem-Estar Social;Enfermagem Pediátrica
Enfermagem na Saúde da Criança e Adolescente;Saúde e Bem-Estar Social;Enfermagem Pediátrica
Empreendedorismo e Gestão de Serviços;Administração e Negócios;Empreendedorismo e Gestão da Inovação
Empreendedorismo;Administração e Negócios;Empreendedorismo e Gestão da Inovação
Eletrônica de Potência;Engenharia, Produção e Construção;Engenharia Eletrônica e Mecatrônica
Eletrônica Analógica II;Engenharia, Produção e Construção;Engenharia Eletrônica e Mecatrônica
Eletrônica Analógica I;Engenharia, Produção e Construção;Engenharia Eletrônica e Mecatrônica
Eletromagnetismo;Ciências Naturais;Ciências Físicas
Eletricidade e Eletrotécnica;Engenharia, Produção e Construção;Engenharia Eletrônica e Mecatrônica
Elementos de Máquinas;Engenharia, Produção e Construção;Engenharia Mecânica e Metalurgica
Eficiência Energética;Engenharia, Produção e Construção;Engenharia Elétrica e de Energia
Educação Física Adaptada;Saúde e Bem-Estar Social;Especialidades da Educação Física
Educação em Direitos Humanos;Educação;Ciências da Educação, Didática e Pedagogia
Educação Brasileira: Estrutura e Bases Legais;Educação;Políticas, Currículos e Programas Educacionais
Economia Política e Serviço Social;Ciências Sociais, Jornalismo e Informação;Ciências Econômicas
Economia e Mercado;Ciências Sociais, Jornalismo e Informação;Ciências Econômicas
Diversificação e Aprofundamentos de Estudos - Pesquisa em Educação;Educação;Exercício Profissional e Pesquisa em Educação
Diversificação e Aprofundamentos de Estudos - Modalidades da Educação;Educação;Ciências da Educação, Didática e Pedagogia
Diversificação e Aprofundamento de Estudos - Ser professor: mapeamento da realidade escolar;Educação;Ciências da Educação, Didática e Pedagogia
Diversificação e Aprofundamento de Estudos - Projetos Educacionais;Educação;Ciências da Educação, Didática e Pedagogia
Diversificação e Aprofundamento de Estudos - Pesquisa e Prática em Educação;Educação;Exercício Profissional e Pesquisa em Educação
Diversificação e Aprofundamento de Estudos - Docência na Contemporaneidade;Educação;Ciências da Educação, Didática e Pedagogia
Dispositivos e Circuitos Eletrônicos;Engenharia, Produção e Construção;Engenharia Eletrônica e Mecatrônica
Direitos Reais;Direito;Direito Privado
Direitos Humanos;Ciências Sociais, Jornalismo e Informação;Ciências Políticas e Direitos Humanos
Direito, Informática e Internet;Direito;Interdisciplinar com foco em Direito
Direito Tributário;Direito;Direito Financeiro e Tributário
Direito Processual do Trabalho;Direito;Direito do Trabalho e Legislação Trabalhista
Direito Internacional;Direito;Direito Internacional
Direito Eleitoral;Direito;Direito Político
Direito Econômico e Financeiro;Direito;Direito Financeiro e Tributário
Direito e Legislação Social;Direito;Direito Público
Direito do Consumidor;Direito;Direito Comercial
Direito de Família;Direito;Direito Civil
Direito das Sucessões;Direito;Direito Civil
Direito Comercial, Societário e Tributário;Direito;Direito Financeiro e Tributário
Direito Ambiental, Difusos e Coletivos;Direito;Interdisciplinar com foco em Direito
Dificuldades de Aprendizagem;Educação;Ciências da Educação, Didática e Pedagogia
Didática Geral;Educação;Ciências da Educação, Didática e Pedagogia
Didática Aplicada à Pedagogia;Educação;Ciências da Educação, Didática e Pedagogia
Didática Aplicada à Educação Física;Saúde e Bem-Estar Social;Interdisciplinar com foco em Saúde e Bem-Estar Social
Desenvolvimento Pessoal e Empregabilidade;Administração e Negócios;Gestão de Pessoas e Departamento de Pessoal
Desenvolvimento e Aprendizagem Motora;Saúde e Bem-Estar Social;Especialidades da Educação Física
Desenvolvimento de Recursos Humanos;Administração e Negócios;Gestão de Pessoas e Departamento de Pessoal
Desenho Urbano;Engenharia, Produção e Construção;Tecnologias para Arquitetura e Urbanismo
Desenho Técnico;Engenharia, Produção e Construção;Tecnologias para Arquitetura e Urbanismo
Desenho de Elementos Arquitetônicos;Engenharia, Produção e Construção;Tecnologias para Arquitetura e Urbanismo
Deontologia e legislação Farmacêutica;Saúde e Bem-Estar Social;Exercício Profissional e Pesquisa em Saúde e Bem-Estar Social
Deontologia e Legislação Biomédica;Saúde e Bem-Estar Social;Exercício Profissional e Pesquisa em Saúde e Bem-Estar Social
Densitometria Óssea e Ultrassonografia;Saúde e Bem-Estar Social;Tecnologias de Diagnóstico e Tratamento Médico
Cálculos Trabalhistas;Administração e Negócios;Contabilidade e Tributação
Cálculos para Ciências da Saúde;Saúde e Bem-Estar Social;Interdisciplinar com foco em Saúde e Bem-Estar Social
Cálculo: Integrais;Matemática, Computação e Tecnologias de Informação e Comunicacão;Matemática Aplicada e Computacional
Cálculo: Funções, Limites e Derivadas;Matemática, Computação e Tecnologias de Informação e Comunicacão;Matemática Aplicada e Computacional
