nome_blox,nome_curso,area_conhecimento,area_funcional,Record Count
Montando uma seleção excelente de profissionais,Curso teste Unique,Relacionais,Gestão de Pessoas,20
Gerenciamento de portfólio: Escritório de Projetos,Pós-Graduação em Gestão Empresarial,Técnicas,Gestão de Projetos,19
"Gestão de Projetos Educacionais ",Pós-Graduação em Controladoria e Finanças,Técnicas,Gestão de Projetos,19
Indicadores financeiros básicos,Pós-Graduação em Gestão Estratégica de Pessoas,Técnicas,Gestão Estratégica,18
Passo a passo da Gestão Estratégica de Vendas,Pós-Graduação em Gestão Empresarial,Estratégicas,Vendas,18
O que é Direito Administrativo?,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Estratégicas,Gestão e Administração,18
Matemática aplicada: conceitos fundamentais,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Finanças,18
Metodologias ativas em que o aluno é protagonista do aprendizado,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Estratégicas,Inovação em Educação,18
Uma caixa de ferramentas para o gerenciamento de projetos,Pós-Graduação em Gestão Empresarial,Inovação,Gestão de Projetos,18
Inovar para o sucesso!,Pós-Graduação em Gestão Estratégica de Pessoas,Inovação,Criatividade e Inovação,18
"Ética e Responsabilidade Social ",Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Relacionais,Gestão e Administração,18
A sustentabilidade na era digital,Pós-Graduação em Gestão Empresarial,Estratégicas,Sustentabilidade,18
Gestão do conhecimento,Pós-Graduação em Gerenciamento de Projetos,Estratégicas,Gestão e Administração,18
Layout industrial inteligente,Pós-Graduação em Gestão Estratégica de Pessoas,Técnicas,Gestão Estratégica,18
Introdução a Sistemas de Informação e Comunicação,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão Estratégica,18
Tudo que você precisa saber sobre logística reversa,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Técnicas,Gestão Estratégica,18
Uma caixa de ferramentas para o gerenciamento de projetos,Pós-Graduação em Gerenciamento de Projetos,Inovação,Gestão de Projetos,18
Impulsionando a captação de dinheiro para novos negócios,Pós-Graduação em Gestão Empresarial,Estratégicas,Finanças,18
Organizações digitais e Oportunidades exponenciais,Pós-Graduação em Gerenciamento de Projetos,Estratégicas,Gestão e Administração,18
Mãos na massa! – Ferramentas para Criatividade e Inovação,Pós-Graduação em Gerenciamento de Projetos,Inovação,Criatividade e Inovação,18
Gestão escolar: espaço para a participação,Pós-Graduação em Liderança para Transformação Digital 4.0,Relacionais,Gestão Educacional,18
Juros e Empréstimos: a avaliação financeira de um projeto,Pós-Graduação em Gerenciamento de Projetos,Estratégicas,Finanças,18
O ciclo de vida de um projeto: do nascimento ao encerramento,Pós-Graduação em Gerenciamento de Projetos,Técnicas,Gestão de Projetos,18
"Gestão Ágil, Modular e Flexível",Pós-Graduação em Gerenciamento de Projetos,Técnicas,Gestão de Projetos,18
Entendendo as relações trabalhistas,Pós-Graduação em Gestão Empresarial,Relacionais,Gestão de Pessoas,18
Montando uma seleção excelente de profissionais,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Relacionais,Gestão de Pessoas,18
Introdução a Administração Financeira,Pós-Graduação em Gestão Estratégica de Pessoas,Técnicas,Finanças,18
A magia da negociação,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Estratégicas,Vendas,17
Matemática Financeira: Análise financeira de Juros,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Técnicas,Finanças,17
Montando uma seleção excelente de profissionais,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Relacionais,Gestão de Pessoas,17
A avaliação educacional é uma tarefa didática,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Técnicas,Gestão Educacional,16
Introdução a Administração Financeira,Pós-Graduação em Liderança para Transformação Digital 4.0,Técnicas,Finanças,15
Indicadores financeiros básicos,Pós-Graduação em Liderança para Transformação Digital 4.0,Técnicas,Gestão Estratégica,15
Gestão contábil e financeira,Pós-Graduação em Liderança para Transformação Digital 4.0,Técnicas,Finanças,15
A magia da negociação,Pós-Graduação em Controladoria e Finanças,Estratégicas,Vendas,15
Gestão escolar: espaço para a participação,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Relacionais,Gestão Educacional,14
Games educativos: o jogo de aprender,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Inovação,Inovação em Educação,14
Educação 4.0: O que devemos esperar,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Inovação,Inovação em Educação,14
Inovar para o sucesso!,Pós-Graduação em Gerenciamento de Projetos,Inovação,Criatividade e Inovação,13
Gerenciamento de portfólio: Escritório de Projetos,Pós-Graduação em Gerenciamento de Projetos,Técnicas,Gestão de Projetos,13
Valorização profissional – Retenção de profissionais,Pós-Graduação em Gestão Empresarial,Relacionais,Gestão de Pessoas,13
Características e inteligências do líder na transformação digital,Pós-Graduação em Liderança para Transformação Digital 4.0,Técnicas,Gestão de Pessoas,13
Tecnologias Facilitadoras e exponenciais,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Técnicas,Criatividade e Inovação,13
Sem escopo não existe projeto,Pós-Graduação em Gerenciamento de Projetos,Técnicas,Gestão de Projetos,13
Planejar para empreender! Plano de negócios e Modelo de negócios,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Estratégicas,Empreendedorismo,13
Organizações digitais e Oportunidades exponenciais,Pós-Graduação em Gestão Empresarial,Estratégicas,Gestão e Administração,13
Sistemas operacionais para leigos,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Database e Redes,12
Gestão contábil e financeira,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Finanças,12
Analisando dados estatísticos,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Gestão e Administração,12
Gerenciamento de sistemas operacionais,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Database e Redes,12
Mãos na massa! – Ferramentas para Criatividade e Inovação,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Inovação,Criatividade e Inovação,12
Juros e Empréstimos: a avaliação financeira de um projeto,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Estratégicas,Finanças,12
Conhecendo a estatística,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Gestão e Administração,12
Introdução a Administração Financeira,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Finanças,12
Gestão estratégica da tecnologia da informação,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Gestão e Administração,12
Analisando dados estatísticos,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão e Administração,12
Demonstrativos financeiros e contábeis,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão Estratégica,12
Sistemas de transporte de mercadorias,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Economia,12
Todos conectados: redes de computadores,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Database e Redes,12
Todos conectados: redes de computadores,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Database e Redes,12
Matemática Financeira: Análise financeira de Juros,Extensão em Negócios e Inovação,Técnicas,Finanças,11
Entendendo Banco de Dados,Pós-Graduação em Controladoria e Finanças,Técnicas,Produção e Processamento,11
Metodologias ativas em que o aluno é protagonista do aprendizado,Pós-Graduação em Controladoria e Finanças,Estratégicas,Inovação em Educação,11
Entendendo as relações trabalhistas,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Relacionais,Gestão de Pessoas,11
Demonstrativos financeiros e contábeis,Pós-Graduação em Controladoria e Finanças,Técnicas,Gestão Estratégica,11
Introdução a Administração Financeira,Pós-Graduação em Controladoria e Finanças,Técnicas,Finanças,11
Introdução a Administração Financeira,Pós-Graduação em Gestão Empresarial,Técnicas,Finanças,11
Crescendo de forma Sustentável,Pós-Graduação em Liderança para Transformação Digital 4.0,Técnicas,Sustentabilidade,11
Organizações que mudam e evoluem,Pós-Graduação em Controladoria e Finanças,Relacionais,Gestão de Pessoas,11
Metodologias ativas em que o aluno é protagonista do aprendizado,Extensão em Negócios e Inovação,Estratégicas,Inovação em Educação,11
Entendendo Banco de Dados,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Técnicas,Produção e Processamento,11
Organizações digitais e Oportunidades exponenciais,Pós-Graduação em Controladoria e Finanças,Estratégicas,Gestão e Administração,11
Tecnologias Facilitadoras e exponenciais,Pós-Graduação em Liderança para Transformação Digital 4.0,Técnicas,Criatividade e Inovação,11
Gestão contábil e financeira,Pós-Graduação em Controladoria e Finanças,Técnicas,Finanças,11
Tecnologias Facilitadoras e exponenciais,Pós-Graduação em Controladoria e Finanças,Técnicas,Criatividade e Inovação,11
A experiência do consumidor 4.0,Extensão em Negócios e Inovação,Técnicas,Marketing e Comunicação,11
Gestão contábil e financeira,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Técnicas,Finanças,11
Comportamento organizacional,Pós-Graduação em Controladoria e Finanças,Relacionais,Gestão Estratégica,11
Competitividade de mercado,Pós-Graduação em Liderança para Transformação Digital 4.0,Estratégicas,Marketing e Comunicação,11
Games educativos: o jogo de aprender,Extensão em Negócios e Inovação,Inovação,Inovação em Educação,11
Gestão de Stakeholders: fechando grandes parcerias,Pós-Graduação em Controladoria e Finanças,Relacionais,Marketing e Comunicação,11
Gestão estratégica da tecnologia da informação,Pós-Graduação em Controladoria e Finanças,Técnicas,Gestão e Administração,11
"Vamos entender o mercado! - Introdução ao Marketing ",Pós-Graduação em Controladoria e Finanças,Estratégicas,Marketing e Comunicação,11
O líder desenvolvendo equipes,Curso teste Unique,Relacionais,Gestão de Pessoas,10
A interação homem-máquina,Pós-Graduação em Gestão Empresarial,Técnicas,Criatividade e Inovação,10
Gestão estratégica da tecnologia da informação,Curso teste Unique,Técnicas,Gestão e Administração,10
Análise das Demonstrações Financeiras como foco no lucro,Pós-Graduação em Gestão Empresarial,Técnicas,Finanças,10
Planejamento Tributário: uma forma legal de aumentar o lucro,Pós-Graduação em Gestão Empresarial,Estratégicas,Finanças,10
Propriedade intelectual,Pós-Graduação em Gestão Empresarial,Técnicas,Direito e Administração,10
"Gestão de Projetos Educacionais ",Extensão em Negócios e Inovação,Técnicas,Gestão de Projetos,10
A experiência do consumidor 4.0,Pós-Graduação em Gestão Empresarial,Técnicas,Marketing e Comunicação,10
Gestão Financeira na Educação,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Técnicas,Finanças,10
Por dentro das relações sindicais,Pós-Graduação em Gestão Empresarial,Técnicas,Direito e Administração,10
Valorização profissional – Retenção de profissionais,Curso teste Unique,Relacionais,Gestão de Pessoas,10
"Vamos entender o mercado! - Introdução ao Marketing ",Pós-Graduação em Gestão Empresarial,Estratégicas,Marketing e Comunicação,10
Planejamento Estratégico: diminuir riscos e promover o crescimento,Pós-Graduação em Gestão Empresarial,Estratégicas,Gestão Estratégica,10
Planejamento Estratégico e Cultura Organizacional,Pós-Graduação em Gestão Empresarial,Estratégicas,Gestão Estratégica,10
Planejar para empreender! Plano de negócios e Modelo de negócios,Curso teste Unique,Estratégicas,Empreendedorismo,10
A magia da negociação,Pós-Graduação em Gestão Empresarial,Estratégicas,Vendas,10
Crescendo de forma Sustentável,Curso teste Unique,Técnicas,Sustentabilidade,10
Planejar para empreender! Plano de negócios e Modelo de negócios,Pós-Graduação em Gestão Empresarial,Estratégicas,Empreendedorismo,10
A avaliação educacional é uma tarefa didática,Pós-Graduação em Gestão Empresarial,Técnicas,Gestão Educacional,10
Mãos na massa! – Ferramentas para Criatividade e Inovação,Curso teste Unique,Inovação,Criatividade e Inovação,10
Inovar para o sucesso!,Curso teste Unique,Inovação,Criatividade e Inovação,10
A formação de líderes,Pós-Graduação em Gestão Empresarial,Relacionais,Gestão de Pessoas,10
Planejamento Orçamentário: um foco no planejamento estratégico,Pós-Graduação em Gestão Empresarial,Estratégicas,Finanças,10
Matemática financeira,Curso teste Unique,Técnicas,Finanças,10
Medindo o desempenho em Gestão de Pessoas,Curso teste Unique,Técnicas,Gestão de Pessoas,10
Por dentro da tributação,Pós-Graduação em Gestão Empresarial,Técnicas,Finanças,10
Matemática Financeira: Análise financeira de Juros,Pós-Graduação em Gestão Empresarial,Técnicas,Finanças,9
"Vamos entender o mercado! - Introdução ao Marketing ",Pós-Graduação em Liderança para Transformação Digital 4.0,Estratégicas,Marketing e Comunicação,9
A magia da negociação,Pós-Graduação em Gestão da Inovação,Estratégicas,Vendas,9
Design thinking para educadores: práticas e soluções para o cotidiano escolar,Pós-Graduação em Gestão Empresarial,Estratégicas,Inovação em Educação,9
Economia Empresarial ampliando a visão de negócios,Pós-Graduação em Gestão Empresarial,Estratégicas,Economia,9
O líder desenvolvendo equipes,Pós-Graduação em Gestão da Inovação,Relacionais,Gestão de Pessoas,9
Introdução a Sistemas de Informação e Comunicação,Pós-Graduação em Gestão Empresarial,Técnicas,Gestão Estratégica,9
Entendendo Banco de Dados,Pós-Graduação em Liderança para Transformação Digital 4.0,Técnicas,Produção e Processamento,9
Logística e a movimentação de materiais,Pós-Graduação em Gestão da Inovação,Técnicas,Gestão Estratégica,9
Layout industrial inteligente,Pós-Graduação em Gestão da Inovação,Técnicas,Gestão Estratégica,9
Gestão de Stakeholders: fechando grandes parcerias,Pós-Graduação em Gestão da Inovação,Relacionais,Marketing e Comunicação,9
Organizações que mudam e evoluem,Pós-Graduação em Gestão Empresarial,Relacionais,Gestão de Pessoas,9
A interação homem-máquina,Pós-Graduação em Gerenciamento de Projetos,Técnicas,Criatividade e Inovação,9
Gestão contábil e financeira,Pós-Graduação em Gestão da Inovação,Técnicas,Finanças,9
Montando uma seleção excelente de profissionais,Pós-Graduação em Gestão da Inovação,Relacionais,Gestão de Pessoas,9
Indicadores financeiros básicos,Pós-Graduação em Gestão da Inovação,Técnicas,Gestão Estratégica,9
Valorização profissional – Retenção de profissionais,Pós-Graduação em Controladoria e Finanças,Relacionais,Gestão de Pessoas,9
Games educativos: o jogo de aprender,Pós-Graduação em Liderança para Transformação Digital 4.0,Inovação,Inovação em Educação,9
Juros e Empréstimos: a avaliação financeira de um projeto,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Estratégicas,Finanças,9
Impulsionando a captação de dinheiro para novos negócios,Pós-Graduação em Gestão da Inovação,Estratégicas,Finanças,9
Entendendo as relações trabalhistas,Pós-Graduação em Gestão da Inovação,Relacionais,Gestão de Pessoas,9
Introdução a Sistemas de Informação e Comunicação,Pós-Graduação em Gerenciamento de Projetos,Técnicas,Gestão Estratégica,9
Competitividade de mercado,Pós-Graduação em Gestão da Inovação,Estratégicas,Marketing e Comunicação,9
Juros e Empréstimos: a avaliação financeira de um projeto,Pós-Graduação em Gestão da Inovação,Estratégicas,Finanças,9
Juros e Empréstimos: a avaliação financeira de um projeto,Pós-Graduação em Gestão Empresarial,Estratégicas,Finanças,9
Introdução a Sistemas de Informação e Comunicação,Pós-Graduação em Gestão Estratégica de Pessoas,Técnicas,Gestão Estratégica,9
"Gestão Ágil, Modular e Flexível",Pós-Graduação em Gestão da Inovação,Técnicas,Gestão de Projetos,9
Gestão estratégica da tecnologia da informação,Pós-Graduação em Gerenciamento de Projetos,Técnicas,Gestão e Administração,9
Organizações que mudam e evoluem,Pós-Graduação em Gestão da Inovação,Relacionais,Gestão de Pessoas,9
Organizações digitais e Oportunidades exponenciais,Pós-Graduação em Gestão da Inovação,Estratégicas,Gestão e Administração,9
Comportamento organizacional,Pós-Graduação em Gestão da Inovação,Relacionais,Gestão Estratégica,9
Logística e a movimentação de materiais,Pós-Graduação em Gestão Empresarial,Técnicas,Gestão Estratégica,9
Passo a passo da Gestão Estratégica de Vendas,Pós-Graduação em Liderança para Transformação Digital 4.0,Estratégicas,Vendas,9
Inovar para o sucesso!,Pós-Graduação em Gestão da Inovação,Inovação,Criatividade e Inovação,9
Gestão estratégica da tecnologia da informação,Pós-Graduação em Gestão Empresarial,Técnicas,Gestão e Administração,9
Introdução a Administração Financeira,Pós-Graduação em Gestão da Inovação,Técnicas,Finanças,9
O ciclo de vida de um projeto: do nascimento ao encerramento,Pós-Graduação em Gestão da Inovação,Técnicas,Gestão de Projetos,9
Tudo que você precisa saber sobre logística reversa,Pós-Graduação em Controladoria e Finanças,Técnicas,Gestão Estratégica,9
"Ética e Responsabilidade Social ",Pós-Graduação em Liderança para Transformação Digital 4.0,Relacionais,Gestão e Administração,9
Passo a passo da Gestão Estratégica de Vendas,Pós-Graduação em Gestão da Inovação,Estratégicas,Vendas,9
Logística e a movimentação de materiais,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Técnicas,Gestão Estratégica,9
O líder desenvolvendo equipes,Pós-Graduação em Gestão Empresarial,Relacionais,Gestão de Pessoas,9
"Vamos entender o mercado! - Introdução ao Marketing ",Pós-Graduação em Gestão da Inovação,Estratégicas,Marketing e Comunicação,9
Planejar para empreender! Plano de negócios e Modelo de negócios,Pós-Graduação em Gestão da Inovação,Estratégicas,Empreendedorismo,9
Captação e monetização para inovação,Pós-Graduação em Liderança para Transformação Digital 4.0,Estratégicas,Finanças,9
Medindo o desempenho em Gestão de Pessoas,Pós-Graduação em Liderança para Transformação Digital 4.0,Técnicas,Gestão de Pessoas,9
A experiência do consumidor 4.0,Pós-Graduação em Gerenciamento de Projetos,Técnicas,Marketing e Comunicação,9
Gestão do conhecimento,Pós-Graduação em Gestão Empresarial,Estratégicas,Gestão e Administração,9
Demonstrativos financeiros e contábeis,Pós-Graduação em Gestão da Inovação,Técnicas,Gestão Estratégica,9
Layout industrial inteligente,Pós-Graduação em Gestão Empresarial,Técnicas,Gestão Estratégica,9
Valorização profissional – Retenção de profissionais,Pós-Graduação em Gestão da Inovação,Relacionais,Gestão de Pessoas,9
Medindo o desempenho em Gestão de Pessoas,Pós-Graduação em Gestão da Inovação,Técnicas,Gestão de Pessoas,9
A interação homem-máquina,Pós-Graduação em Controladoria e Finanças,Técnicas,Criatividade e Inovação,8
A avaliação educacional é uma tarefa didática,Extensão em Negócios e Inovação,Técnicas,Gestão Educacional,8
Gestão contábil e financeira,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Finanças,6
Interligando redes de computadores,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Database e Redes,6
Gestão da Qualidade de Softwares,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Database e Redes,6
Tipos e modelos de organizações,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Gestão e Administração,6
Matemática aplicada: Funções e equações,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Finanças,6
A magia da negociação,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Estratégicas,Vendas,6
A sustentabilidade na era digital,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Estratégicas,Sustentabilidade,6
"Ética e Responsabilidade Social ",Pós-Graduação em Gerenciamento de Projetos,Relacionais,Gestão e Administração,6
A interação homem-máquina,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Técnicas,Criatividade e Inovação,6
Gestão do conhecimento,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Estratégicas,Gestão e Administração,6
Características e inteligências do líder na transformação digital,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Técnicas,Gestão de Pessoas,6
Uma caixa de ferramentas para o gerenciamento de projetos,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Inovação,Gestão de Projetos,6
O líder desenvolvendo equipes,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Relacionais,Gestão de Pessoas,6
Medindo o desempenho em Gestão de Pessoas,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Gestão de Pessoas,6
Ferramentas para Educação Infantil,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão Educacional,6
Compras na Administração Pública,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão e Administração,6
Entendendo Banco de Dados,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Produção e Processamento,6
Introdução a Administração Financeira,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Finanças,6
Planejar para empreender! Plano de negócios e Modelo de negócios,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Estratégicas,Empreendedorismo,6
Entendendo as relações trabalhistas,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Relacionais,Gestão de Pessoas,6
Captação e monetização para inovação,Pós-Graduação em Controladoria e Finanças,Estratégicas,Finanças,4
Medindo o desempenho em Gestão de Pessoas,Pós-Graduação em Gerenciamento de Projetos,Técnicas,Gestão de Pessoas,4
Comportamento organizacional,Pós-Graduação em Gerenciamento de Projetos,Relacionais,Gestão Estratégica,4
Economia Empresarial ampliando a visão de negócios,Pós-Graduação em Controladoria e Finanças,Estratégicas,Economia,4
Valorização profissional – Retenção de profissionais,Pós-Graduação em Gerenciamento de Projetos,Relacionais,Gestão de Pessoas,4
Organizações digitais e Oportunidades exponenciais,Pós-Graduação em Liderança para Transformação Digital 4.0,Estratégicas,Gestão e Administração,4
Entendendo as relações trabalhistas,Pós-Graduação em Gerenciamento de Projetos,Relacionais,Gestão de Pessoas,4
Gestão contábil e financeira,Pós-Graduação em Gerenciamento de Projetos,Técnicas,Finanças,4
A sustentabilidade na era digital,Pós-Graduação em Liderança para Transformação Digital 4.0,Estratégicas,Sustentabilidade,4
Competitividade de mercado,Pós-Graduação em Controladoria e Finanças,Estratégicas,Marketing e Comunicação,4
Indicadores financeiros básicos,Pós-Graduação em Gerenciamento de Projetos,Técnicas,Gestão Estratégica,4
"Estratégia para a indústria 4.0 ",Pós-Graduação em Controladoria e Finanças,Estratégicas,Gestão Estratégica,4
Gestão por competências como modelo de gestão estratégica,Pós-Graduação em Gestão Empresarial,Técnicas,Gestão de Pessoas,4
Empreendedorismo: explorando o Universo,Pós-Graduação em Liderança para Transformação Digital 4.0,Estratégicas,Empreendedorismo,4
Introdução a Sistemas de Informação e Comunicação,Pós-Graduação em Liderança para Transformação Digital 4.0,Técnicas,Gestão Estratégica,4
Organizações que mudam e evoluem,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Relacionais,Gestão de Pessoas,4
A interação homem-máquina,Extensão em Negócios e Inovação,Técnicas,Criatividade e Inovação,4
Mãos na massa! – Ferramentas para Criatividade e Inovação,Pós-Graduação em Controladoria e Finanças,Inovação,Criatividade e Inovação,4
"Estratégia para a indústria 4.0 ",Pós-Graduação em Liderança para Transformação Digital 4.0,Estratégicas,Gestão Estratégica,4
Educação 4.0: O que devemos esperar,Pós-Graduação em Controladoria e Finanças,Inovação,Inovação em Educação,4
Tudo que você precisa saber sobre logística reversa,Pós-Graduação em Liderança para Transformação Digital 4.0,Técnicas,Gestão Estratégica,4
Gerenciamento de portfólio: Escritório de Projetos,Extensão em Negócios e Inovação,Técnicas,Gestão de Projetos,4
"Gestão Ágil, Modular e Flexível",Pós-Graduação em Liderança para Transformação Digital 4.0,Técnicas,Gestão de Projetos,4
Organizações que mudam e evoluem,Pós-Graduação em Gerenciamento de Projetos,Relacionais,Gestão de Pessoas,4
O líder desenvolvendo equipes,Pós-Graduação em Gerenciamento de Projetos,Relacionais,Gestão de Pessoas,4
A experiência do consumidor 4.0,Pós-Graduação em Liderança para Transformação Digital 4.0,Técnicas,Marketing e Comunicação,4
Introdução a Sistemas de Informação e Comunicação,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Técnicas,Gestão Estratégica,4
Gerenciamento de portfólio: Escritório de Projetos,Pós-Graduação em Controladoria e Finanças,Técnicas,Gestão de Projetos,4
Educação 4.0: O que devemos esperar,Extensão em Negócios e Inovação,Inovação,Inovação em Educação,4
Logística e a movimentação de materiais,Pós-Graduação em Liderança para Transformação Digital 4.0,Técnicas,Gestão Estratégica,4
Gestão Financeira na Educação,Extensão em Negócios e Inovação,Técnicas,Finanças,4
Games educativos: o jogo de aprender,Pós-Graduação em Controladoria e Finanças,Inovação,Inovação em Educação,2
Gestão por competências como modelo de gestão estratégica,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Técnicas,Gestão de Pessoas,2
Games educativos: o jogo de aprender,Pós-Graduação em Gestão Empresarial,Inovação,Inovação em Educação,2
Design thinking para educadores: práticas e soluções para o cotidiano escolar,Extensão em Negócios e Inovação,Estratégicas,Inovação em Educação,2
Impulsionando a captação de dinheiro para novos negócios,Extensão em Negócios e Inovação,Estratégicas,Finanças,2
Gestão por competências como modelo de gestão estratégica,Pós-Graduação em Controladoria e Finanças,Técnicas,Gestão de Pessoas,2
Gestão escolar: espaço para a participação,Pós-Graduação em Controladoria e Finanças,Relacionais,Gestão Educacional,2
Crescendo de forma Sustentável,Extensão em Negócios e Inovação,Técnicas,Sustentabilidade,2
Uma caixa de ferramentas para o gerenciamento de projetos,Extensão em Negócios e Inovação,Inovação,Gestão de Projetos,2
O ciclo de vida de um projeto: do nascimento ao encerramento,Extensão em Negócios e Inovação,Técnicas,Gestão de Projetos,2
A sustentabilidade na era digital,Pós-Graduação em Controladoria e Finanças,Estratégicas,Sustentabilidade,2
Sem escopo não existe projeto,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Técnicas,Gestão de Projetos,2
Sem escopo não existe projeto,Pós-Graduação em Controladoria e Finanças,Técnicas,Gestão de Projetos,2
A avaliação educacional é uma tarefa didática,Pós-Graduação em Controladoria e Finanças,Técnicas,Gestão Educacional,2
Gestão escolar: espaço para a participação,Extensão em Negócios e Inovação,Relacionais,Gestão Educacional,2
Comportamento organizacional,Pós-Graduação em Liderança para Transformação Digital 4.0,Relacionais,Gestão Estratégica,2
Business Intelligence e Analytics,Pós-Graduação em Liderança para Transformação Digital 4.0,Estratégicas,Database e Redes,2
"Gestão Ágil, Modular e Flexível",Extensão em Negócios e Inovação,Técnicas,Gestão de Projetos,2
Um olhar para o futuro com as Tendências e os Cenários Econômicos,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Estratégicas,Economia,2
Tecnologias Facilitadoras e exponenciais,Pós-Graduação em Gestão Empresarial,Técnicas,Criatividade e Inovação,2
Um olhar para o futuro com as Tendências e os Cenários Econômicos,Extensão em Negócios e Inovação,Estratégicas,Economia,2
Crescendo de forma Sustentável,Pós-Graduação em Controladoria e Finanças,Técnicas,Sustentabilidade,2
O ciclo de vida de um projeto: do nascimento ao encerramento,Pós-Graduação em Liderança para Transformação Digital 4.0,Técnicas,Gestão de Projetos,2
Economia Empresarial ampliando a visão de negócios,Extensão em Negócios e Inovação,Estratégicas,Economia,2
"Gestão Ágil, Modular e Flexível",Pós-Graduação em Gestão Empresarial,Técnicas,Gestão de Projetos,2
